CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,
1/1/2023,,,,,,,,RESPONSÁVEL PELA PESAGEM ,,,ERIBERTO,
SETOR,KG,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,RECICLÁVEL,,,,,,,
Administração,  12.80 ,,,,,,,,,,,
Ambulatório,  18.70 ,,,,,,,  0.20 ,,,,
FArmácia,,,,,,,,,,,,
CME,  18.60 ,,,,,,,  0.40 ,,,,
CECAE/Hemodinâmica,,,,,,,,,,,,
CEROF,,,,,,,,,,,,
Pediatria,  28.30 ,,,,,,,  4.65 ,,,,
Obstetrícia,  49.96 ,,,,,,,  5.45 ,  1.80 ,,,
DIP,  26.12 ,,,,,,,  3.30 ,,,,
CCA,  27.30 ,,,,,,,  8.25 ,,,,
CMA,  29.84 ,,,,,,,  20.85 ,,,,
CMB,,,,,,,,,,,,
PATOLOGIA,,,,,,,,,,,,
ÁREA,,,,,,,,  ,,,,
BLOCO,  28.30 ,,,,,,,  10.85 ,,,,
UTI,  49.14 ,,,,,,,  2.80 ,  4.20 ,  2.05 ,,
NOTURNO,,,,,,,,  31.00 ,,,,
SAE,,,,,,,,,,,,
TOTAL,  289.06 ,,,,  -   ,,,  93.75 ,,  2.05 ,,  -   
