CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,
1/1/2022,,,,,,,,RESPONSÁVEL PELA PESAGEM ,,,,
SETOR,KG,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,RECICLÁVEL,,,,,,,
NUTRIÇÃO ,,,,,,,,,,,,
ADM,  24.70 ,,,,,,,,,,,
AMBULATÓRIO,  139.18 ,,,,,,,  27.90 ,,,,
FARMÁCIA,  30.80 ,,,,,,,,,,,
CME,  27.13 ,,,,,,,  0.55 ,,,,
CECAE,  24.05 ,,,,,,,,,,,
CEROF,  12.80 ,,,,,,,  0.35 ,,,,
PEDIATRIA,  31.90 ,,,,,,,  0.90 ,,,,
DIP,  25.12 ,,,,,,,,,,,
CCA,  29.30 ,,,,,,,  3.80 ,,,,
CMA,  36.40 ,,,,,,,  11.55 ,,,,
CMB,  28.18 ,,,,,,,  18.50 ,,,,
PATOLOGIA,,,,,,,,  11.60 ,,,,
ÁREAS,  34.00 ,,,,,,,,,,,
BLOCO,  59.61 ,,,,,,,  34.25 ,,,,
UTI,  68.50 ,,,,,,,  10.05 ,,,,
NOTURNO,,,,,,,,  24.80 ,,,,
SAE,  8.94 ,,,,,,,,,,,
TOTAL,  580.61 ,,,,  -   ,,,  144.25 ,,  -   ,,  -   
