CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,
7/1/2022,,,,,,,,RESPONSÁVEL PELA PESAGEM ,,,,
SETOR,KG,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,RECICLÁVEL,,,,,,,
Nutrição,,,,,,,,,,,,
Administração,  27.78 ,,,,,,,,,,,
Ambulatório,  101.46 ,,,,  18.35 ,  5.10 ,,,,,,
Farmácia,  29.76 ,,,,  3.90 ,,,,,,,
CME,  222.32 ,,,,  0.70 ,,,,,,,
CECAE/Hemodinâmica,  12.30 ,,,,  2.20 ,,,,,,,
CEROF,  12.82 ,,,,  0.70 ,,,,,,,
Pediatria,  34.60 ,,,,  1.85 ,,,,,,,
Obstetrícia,  64.29 ,,,,  10.75 ,,,,,,,
DIP,  32.13 ,,,,  2.85 ,  5.25 ,,,,,,
CCA,  30.10 ,,,,  6.00 ,,,,,,,
CMA,  36.49 ,,,,  25.65 ,,,,,,,
CMB,  20.82 ,,,,,,,,,,,
PATOLOGIA,  8.00 ,,,,  3.85 ,,,,,,,
ÁREA,  38.45 ,  19.70 ,,,,,,,,,,
BLOCO,  61.55 ,,,,  35.25 ,  2.70 ,,,,,,
UTI,  58.39 ,,,,,  48.60 ,,,,,,
NOTURNO,,,,,,  1.90 ,,,,,,
SAE,  14.80 ,,,,,,,,,,,
TOTAL,  825.76 ,,,,  175.60 ,,,  -   ,,  -   ,,  -   
