CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,
6/1/2022,,,,,,,,RESPONSÁVEL PELA PESAGEM ,,,,
SETOR,KG,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,RECICLÁVEL,,,,,,,
Nutrição,,,,,,,,,,,,
Administração,,,,,,,,,,,,
Ambulatório,  28.18 ,,,,,,,  24.10 ,  9.80 ,,,
Farmácia,  29.14 ,,,,,,,  3.25 ,,,,
CME,  24.68 ,  89.46 ,,,,,,  2.35 ,,,,
CECAE/Hemodinâmica,,  14.90 ,,,,,,,,,,
CEROF,,  12.80 ,,,,,,  1.90 ,,,,
Pediatria,,  32.10 ,,,,,,  6.05 ,,,,
Obstetrícia,,  64.60 ,,,,,,  4.70 ,,,,
DIP,,  28.15 ,,,,,,  3.20 ,,,,
CCA,,  29.52 ,,,,,,  3.45 ,,,,
CMA,,  35.55 ,,,,,,  25.40 ,,,,
CMB,,  22.70 ,,,,,,  3.95 ,,,,
PATOLOGIA,,  6.80 ,,,,,,  2.50 ,,,,
ÁREA,,  40.75 ,,,,,,,,,,
BLOCO,,  58.44 ,,,,,,  28.80 ,  6.14 ,,,
UTI,,  64.20 ,,,,,,  15.65 ,  6.00 ,,,
NOTURNO,,,,,,,,  31.20 ,,,,
SAE,,  12.80 ,,,,,,,,,,
TOTAL,  594.77 ,,,,  -   ,,,  178.44 ,,  -   ,,  -   
