CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,
1/1/2020,,,,,,,,RESPONSÁVEL PELA PESAGEM ,,,MARCIO,
SETOR,KG,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,RECICLÁVEL,,,,,,,
Administração,,,,,,,,,,,,
Ambulatório,,,,,,,,,,,,
Áreas,,,,,,,,,,,,
Bloco,,,,,,,,,,,,
CCA,,,,,,,,,,,,
CECAE/Hemodinâmica,,,,,,,,,,,,
CEROF,,,,,,,,,,,,
CMA,,,,,,,,,,,,
CMB,,,,,,,,,,,,
CME,,,,,,,,,,,,
DIP,,,,,,,,,,,,
Farmácia,,,,,,,,,,,,
Laboratório,,,,,,,,,,,,
Nutrição,,,,,,,,,,,,
Obstetrícia,,,,,,,,,,,,
Pediatria,,,,,,,,,,,,
SAI,,,,,,,,,,,,
UTI,,,,,,,,,,,,
TOTAL,  -   ,,,,  -   ,,,  -   ,,  -   ,,  -   
