CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,,
,,,,,,,,,,,,,
2/1/2020,,,,,,,,RESPONSÁVEL PELA PESAGEM DO LIXO____________________________,,,,MÁRCIO,
,,,,,,,,,,,,,
SETOR,KG,,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,,RECICLÁVEL,,,,,,,
Nutrição,  207.55 ,,,,,  11.95 ,,,,,,,
CMA,  23.20 ,,,,,,,  12.45 ,,,,,
Ambulatório,,,,,,,,,,,,,
Farmácia,  13.35 ,,,,,  14.10 ,,,,,  4.30 ,,
Administração,,,,,,,,,,,,,
CME,  9.40 ,,,,,,,  1.45 ,,,,,
Laboratorio,  10.15 ,,,,,,,  8.80 ,,,  1.85 ,,
Obstetrícia,  62.80 ,,,,,  7.45 ,,  15.80 ,,,  4.90 ,,
CMB,  26.85 ,,,,,  3.50 ,,  14.95 ,,,,,
CCA,  11.85 ,,,,,,,  4.70 ,,,,,
CECAE/Hemodinâmica,  9.10 ,,,,,,,,,,  3.60 ,,
CEROF,,,,,,,,,,,,,
DIP,  13.90 ,,,,,,,  12.75 ,,,  7.65 ,,
Pediatria,  19.75 ,,,,,,,  1.70 ,,,,,
Bloco,  4.70 ,,,,,,,  24.80 ,,,,,
UTI,  38.60 ,,,,,,,  25.00 ,,,  6.25 ,,
Áreas,,,,,,,,,,,,,
,,,,,,,,,,,,,
TOTAL,  451.20 ,,,,,  37.00 ,,  122.40 ,,,  28.55 ,,  -   
