CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,,
,,,,,,,,,,,,,
3/1/2020,,,,,,,,RESPONSÁVEL PELA PESAGEM DO LIXO____________________________,,,,MÁRCIO,
,,,,,,,,,,,,,
SETOR,KG,,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,,RECICLÁVEL,,,,,,,
Nutrição,,,,,,,,,,,,,
CMA,,,,,,,,,,,,,
Ambulatório,,,,,,,,,,,,,
Farmácia,,,,,,,,,,,,,
Administração,,,,,,,,,,,,,
CME,,,,,,,,,,,,,
Laboratorio,,,,,,,,,,,,,
Obstetrícia,,,,,,,,,,,,,
CMB,,,,,,,,,,,,,
CCA,,,,,,,,,,,,,
CECAE/Hemodinâmica,,,,,,,,,,,,,
CEROF,,,,,,,,,,,,,
DIP,,,,,,,,,,,,,
Pediatria,,,,,,,,,,,,,
Bloco,,,,,,,,,,,,,
UTI,,,,,,,,,,,,,
Áreas,,,,,,,,,,,,,
,,,,,,,,,,,,,
TOTAL,  -   ,,,,,  -   ,,  -   ,,,  -   ,,  -   
