CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,,
,,,,,,,,,,,,,
5/1/2020,,,,,,,,RESPONSÁVEL PELA PESAGEM DO LIXO: MÁRCIO,,,,,
,,,,,,,,,,,,,
SETOR,KG,,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,,RECICLÁVEL,,,,,,,
NUTRIÇÃO,  203.80 ,,,,,  19.25 ,,,,,,,
CTI,  29.40 ,,,,,  5.30 ,,  35.45 ,,,,,
DIP,  16.15 ,,,,,,,  17.90 ,,,,,
BLOCO,  28.60 ,,,,,,,  11.45 ,,,,,
MATERNIDADE,  63.60 ,,,,,  3.70 ,,  2.65 ,,,,,
Clinica Cirúrgica,  9.95 ,,,,,,,  14.15 ,,,,,
CMA,  17.50 ,,,,,,,  9.05 ,,,,,
CMB,  19.50 ,,,,,,,  22.25 ,,,,,
PEDIATRIA,  21.40 ,,,,,,,  1.10 ,,,,,
FARMÁCIA,  20.15 ,,,,,  18.20 ,,  2.20 ,,,,,
LABORATÓRIO,  11.75 ,,,,,  2.05 ,,,,,,,
CME,  9.85 ,,,,,  3.10 ,,  4.35 ,,,,,
CECAE,  8.50 ,,,,,,,,,,,,
ADMINISTRAÇÃO,  16.35 ,,,,,  2.90 ,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
TOTAL,  476.50 ,,,,,  54.50 ,,  120.55 ,,,  -   ,,  -   
