CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,,
,,,,,,,,,,,,,
6/1/2020,,,,,,,,RESPONSÁVEL PELA PESAGEM DO LIXO: ERIBERTO,,,,,
,,,,,,,,,,,,,
SETOR,KG,,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,,RECICLÁVEL,,,,,,,
NUTRIÇÃO,  201.80 ,,,,,,,,,,,,
ADMINISTRAÇÃO,  41.20 ,,,,,,,,,,,,
AMBULATÓRIO,  69.94 ,,,,,,,  12.35 ,,,,,
FARMÁCIA,  28.97 ,,,,,,,,,,,,
CME,  20.40 ,,,,,,,  4.15 ,,,,,
CECAE,  20.90 ,,,,,,,,,,,,
PEDIATRIA,  33.60 ,,,,,,,  1.15 ,,,,,
OBSTETRÍCIA,  135.85 ,,,,,,,  5.20 ,,,,,
DIP,  52.20 ,,,,,,,  31.40 ,,,  3.50 ,,
CCA,  23.35 ,,,,,,,  0.90 ,,,,,
CMA,  42.30 ,,,,,,,  11.80 ,,,  6.40 ,,
CMB,  40.65 ,,,,,,,  18.35 ,  0.45 ,,,,
REAS,  32.48 ,,,,,,,,,,,,
SAE,  20.18 ,,,,,,,,,,,,
BLOCO,36.42,,,,,,,  142.50 ,,,,,
UTI,86.24,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
TOTAL,  886.48 ,,,,,  -   ,,  228.25 ,,,  9.90 ,,  -   
