CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,,
,,,,,,,,,,,,,
7/1/2020,,,,,,,,RESPONSÁVEL PELA PESAGEM DO LIXO: ERIBERTO,,,,,
,,,,,,,,,,,,,
SETOR,KG,,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,,RECICLÁVEL,,,,,,,
NUTRIÇÃO,  98.94 ,  99.18 ,,,,,,,,,,,
ADMINISTRAÇÃO,  48.64 ,,,,,,,,,,,,
AMBULATÓRIO,  181.12 ,,,,,,,  18.40 ,,,,,
FARMACIA,  27.33 ,,,,,,,  2.50 ,,,,,
CME,  20.75 ,,,,,,,  3.45 ,,,,,
CECAEI/HEMODINAMICA,  12.80 ,,,,,,,,,,,,
CLÍNICA PEDIÁTRICA,  35.30 ,,,,,,,  1.45 ,,,,,
OBSTETRÍCIA,  91.44 ,,,,,,,  9.00 ,,,,,
DIP,  32.18 ,,,,,,,  20.05 ,,,,,
ÁREAS,  28.10 ,,,,,,,,,,,,
SAE,  13.60 ,,,,,,,,,,,,
CLÍNICA MÉDICA A,  40.25 ,,,,,,,  20.50 ,,,,,
CLÍNICA MÉDICA B,  39.88 ,,,,,,,  15.55 ,,,,,
CLÍNICA CIRÚRGICA,  21.45 ,,,,,,,  2.05 ,,  2.05 ,,,
BLOCO CIRÚRGICO,  59.94 ,,,,,,,  18.95 ,,,,,
UTI,  61.50 ,,,,,,,  29.25 ,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
TOTAL,  912.40 ,,,,,  -   ,,  143.20 ,,,  -   ,,  -   
