CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,,
,,,,,,,,,,,,,
8/1/2020,,,,,,,,RESPONSÁVEL PELA PESAGEM DO LIXO: MARCIO,,,,,
,,,,,,,,,,,,,
SETOR,KG,,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,,RECICLÁVEL,,,,,,,
NUTRIÇÃO,  193.45 ,,,,,  12.90 ,,,,,,,
CTI,  16.25 ,,,,,  6.80 ,,  55.55 ,,  6.35 ,,,
BLOCO,  23.90 ,,,,,  4.20 ,,,,,,,
DIP,  15.30 ,,,,,,,  41.45 ,,,,,
CLÍNICA MÉDICA A,  17.45 ,,,,,  2.50 ,,  27.45 ,,,,,
CLÍNICA PEDIÁTRICA,  15.30 ,,,,,,,  11.00 ,,,,,
FARMACIA,  10.50 ,,,,,  9.95 ,,  4.55 ,,  3.25 ,,,
CME,  9.70 ,,,,,  3.05 ,,  3.30 ,,,,,
LABORATÓRIO,  13.25 ,,,,,  6.75 ,,  17.15 ,,,,,
CLÍNICA MÉDICA B,  22.80 ,,,,,  3.10 ,,  20.85 ,,,,,
UPS,  8.65 ,,,,,  5.95 ,,,,,,,
CLÍNICA CIRÚRGICA,  18.10 ,  5.15 ,,,,  2.40 ,  2.15 ,  18.10 ,,  2.20 ,,,
OBSTETRÍCIA,  34.95 ,,,,,  4.30 ,,  29.80 ,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
TOTAL,  404.75 ,,,,,  64.05 ,,  241.00 ,,,  -   ,,  -   
