CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,,
,,,,,,,,,,,,,
9/1/2020,,,,,,,,RESPONSÁVEL PELA PESAGEM DO LIXO: ,,,,ERIBERTO,
,,,,,,,,,,,,,
SETOR,KG,,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,,RECICLÁVEL,,,,,,,
NUTRIÇÃO,  84.72 ,  29.96 ,,,,,,,,,,,
AMBULATORIO,  152.61 ,,,,,,,  17.20 ,,  2.20 ,,,
ADM,  30.20 ,,,,,,,,,,,,
FARMACIA,  2.10 ,,,,,,,,,,,,
CME,  28.55 ,,,,,,,  3.00 ,,,,,
OBST,  94.96 ,,,,,,,  13.65 ,,,,,
DIP,  33.14 ,,,,,,,  12.40 ,,,,,
PED,  35.55 ,,,,,,,  1.25 ,,  2.85 ,,,
CECAI,  17.95 ,,,,,,,  4.10 ,,,,,
CEROF,  24.84 ,,,,,,,,,  1.45 ,,,
SAE,  18.30 ,,,,,,,,,,,,
AREAS,  32.41 ,,,,,,,,,,,,
CMA,  53.00 ,,,,,,,  13.00 ,,,,,
CMB,  51.38 ,,,,,,,  19.60 ,,,,,
CCA,  17.95 ,,,,,,,  4.25 ,,,,,
BLOCO,  30.80 ,,,,,,,  12.40 ,  7.25 ,,,,
UTI,  69.70 ,,,,,,,  10.30 ,  9.20 ,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
TOTAL,  808.12 ,,,,,  -   ,,  134.10 ,,,  -   ,,  -   
