CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,,
,,,,,,,,,,,,,
10/1/2020,,,,,,,,RESPONSÁVEL PELA PESAGEM DO LIXO: ,,,,ERIBERTO,
,,,,,,,,,,,,,
SETOR,KG,,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,,RECICLÁVEL,,,,,,,
NUTRIÇÃO,  117.28 ,  91.44 ,,,,,,,,,,,
ADM,  28.96 ,,,,,,,,,,,,
AMBUL,  241.89 ,,,,,,,  23.70 ,,,,,
FARMACIA,  25.94 ,,,,,,,,,,,,
CME,  23.10 ,,,,,,,  3.40 ,,,,,
CECAI,  18.90 ,,,,,,,  3.90 ,,,,,
CEROF,  15.80 ,,,,,,,,,,,,
PED,  36.20 ,,,,,,,  1.20 ,,,,,
DIP,  39.45 ,,,,,,,  20.00 ,,,,,
SAE,  18.90 ,,,,,,,,,,,,
AREAS,  31.10 ,,,,,,,,,,,,
CCA,  26.20 ,,,,,,,  5.25 ,,,,,
CMB,  30.30 ,,,,,,,  22.05 ,,,,,
CMA,  55.20 ,,,,,,,  14.90 ,,,,,
UTI,  64.18 ,,,,,,,  12.50 ,,,,,
BLOCO,  10.10 ,,,,,,,  21.40 ,,,,,
PATOLOGIA,  89.38 ,,,,,,,  1.25 ,,,,,
OBST,,,,,,,,  10.05 ,,,,,
,,,,,,,,,,,,,
TOTAL,  964.32 ,,,,,  -   ,,  139.60 ,,,  -   ,,  -   
