CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,,
,,,,,,,,,,,,,
DATA:01/11/2020,RESPONSÁVEL PELA PESAGEM DO LIXO: ,,,,:MARCIO,,,,,,,,
,,,,,,,,,,,,,
SETOR,KG,,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,,RECICLÁVEL,,,,,,,
NUTRIÇÃO,  189.65 ,,,,,  9.30 ,,,,,,,
MATERNIDADE,  47.70 ,,,,,,,  16.60 ,,,,,
LABORATÓRIO,,,,,,,,,,,,,
PEDIATRIA,  10.70 ,,,,,,,  1.75 ,,,,,
FÁRMACIA,  16.95 ,,,,,  9.05 ,,  11.15 ,,,  4.55 ,,
CTI,  39.10 ,,,,,  1.95 ,,  24.10 ,,,,,
BLOCO,  17.20 ,,,,,,,  18.80 ,,,,,
DIP,  33.55 ,,,,,  3.25 ,,  17.85 ,,,,,
CMA,  21.25 ,,,,,,,  13.05 ,,,,,
CMB,  23.10 ,,,,,,,  16.10 ,,,,,
CEROF,,,,,,,,,,,,,
CME,  4.10 ,,,,,,,  1.55 ,,,,,
CECAE,,,,,,,,,,,,,
CIRURGICA A,,,,,,,,,,,,,
CURURGICA B,  12.80 ,,,,,,,  2.90 ,,,,,
ADMINISTRAÇÃO ,,,,,,,,,,,,,
PATOLOGIA,,,,,,,,,,,,,
SAE,,,,,,,,,,,,,
,,,,,,,,,,,,,
TOTAL,  416.10 ,,,,,  23.55 ,,  123.85 ,,,  4.55 ,,  -   
