CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,
2/1/2021,,,,,,,,RESPONSÁVEL PELA PESAGEM ,,,MARCIO,
SETOR,KG,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,RECICLÁVEL,,,,,,,
NUTRIÇÃO,  205.50 ,,,,  6.10 ,,,,,,,
CTI,  53.20 ,,,,,,,  28.85 ,,,,
DIP,  13.45 ,,,,  3.00 ,,,  22.25 ,,  2.70 ,,
PED,  22.00 ,,,,,,,  0.85 ,,  2.40 ,,
FARMACIA,  19.35 ,,,,  5.15 ,,,  11.20 ,,  2.45 ,,  22.70 
CCA,  9.50 ,,,,,,,  4.80 ,,,,
LAB,  131.15 ,,,,  13.95 ,,,  23.25 ,,,,
AREAS,  15.55 ,,,,  2.00 ,,,  2.45 ,,,,
CMA,  31.40 ,,,,,,,  14.10 ,,,,
CMB,  31.50 ,,,,,,,  11.15 ,,,,
ADM,  16.30 ,,,,  2.40 ,,,  1.95 ,,,,
AREA EXTERNA,  11.20 ,,,,,,,,,,,
CME,  7.55 ,,,,  1.50 ,,,  2.85 ,,,,
SAE,  12.10 ,,,,  0.95 ,,,,,,,
UPS,  8.05 ,,,,  4.15 ,,,,,,,
OBST,  59.40 ,,,,  3.05 ,,,  9.20 ,,  2.05 ,,
BLOCO,  22.25 ,,,,  2.60 ,,,  44.95 ,,  2.00 ,,
,,,,,,,,,,,,
TOTAL,  669.45 ,,,,  44.85 ,,,  177.85 ,,  11.60 ,,  22.70 
