CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,
3/1/2021,,,,,,,,RESPONSÁVEL PELA PESAGEM ,,,MARCIO,
SETOR,KG,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,RECICLÁVEL,,,,,,,
NOITE,,,,,,,,  61.45 ,,,,
COVID,,,,,  3.05 ,,,  49.90 ,,  5.25 ,,
NUTRI,  213.80 ,,,,  9.65 ,,,,,,,
CTU,  25.85 ,,,,  1.30 ,,,  6.20 ,,  4.10 ,,
BLOCO,  21.15 ,,,,,,,  21.55 ,,,,
DIP,  17.75 ,,,,  2.00 ,,,  4.65 ,,  2.60 ,,
OBST,  62.32 ,,,,  2.50 ,,,  5.00 ,,  3.85 ,,
LAB,  89.95 ,,,,  3.65 ,,,  17.90 ,,,,
FARM,  23.45 ,,,,  7.55 ,,,  16.35 ,,  4.45 ,,
ADM,  27.95 ,,,,  2.20 ,,,  5.80 ,,,,
CCA,  10.70 ,,,,  0.95 ,,,  6.55 ,,,,
PED,  16.65 ,,,,  2.05 ,,,  0.85 ,,,,
CMA,  22.25 ,,,,  1.95 ,,,  10.80 ,,,,
CMB,  22.25 ,,,,  2.50 ,,,  20.00 ,,,,
CME,  10.55 ,,,,,,,  2.40 ,,,,
SAE,  11.15 ,,,,  1.35 ,,,  0.95 ,,,,
UPS,  6.30 ,,,,  3.45 ,,,,,,,
,,,,,,,,,,,,
TOTAL,  582.07 ,,,,  44.15 ,,,  230.35 ,,  20.25 ,,  -   
