CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,
5/1/2021,,,,,,,,RESPONSÁVEL PELA PESAGEM ,,,,
SETOR,KG,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,RECICLÁVEL,,,,,,,
NUTRIÇÃO,  108.19 ,,,,,,,,,,,
ADM,  20.40 ,,,,,,,,,,,
AMBULATÓRIO,  21.13 ,,,,,,,,,,,
FARMÁCIA,  19.80 ,,,,,,,  2.10 ,,,,
CME,  21.14 ,,,,,,,  3.30 ,,,,
CECAE,  18.00 ,,,,,,,  0.65 ,,,,
CEROF,  8.10 ,,,,,,,,,,,
PEDIATRIA,  38.19 ,,,,,,,  1.50 ,,,,
DIP,  24.98 ,,,,,,,  11.15 ,,,,
OBSTETRICIA,  79.96 ,,,,,,,  5.10 ,,,,
CCA,  32.82 ,,,,,,,  6.35 ,,,,
CMA,  52.44 ,,,,,,,  14.48 ,,,,
CMB,  50.20 ,,,,,,,  11.65 ,,,,
UTI,  62.20 ,,,,,,,  15.00 ,,,,
BLOCO,  54.38 ,,,,,,,  16.40 ,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
TOTAL,  611.93 ,,,,  -   ,,,  87.68 ,,  -   ,,  -   
