CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,
6/1/2021,,,,,,,,RESPONSÁVEL PELA PESAGEM ,,,,
SETOR,KG,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,RECICLÁVEL,,,,,,,
NUTRIÇÃO,,,,,,,,,,,,
ADM,,,,,,,,,,,,
AMBULATÓRIO,  192.90 ,,,,,,,  61.00 ,,,,
FARMÁCIA,,,,,,,,,,,,
CME,  24.10 ,,,,,,,  15.05 ,,,,
CECAE,,,,,,,,,,,,
CEROF,,,,,,,,,,,,
PEDIATRIA,,,,,,,,  5.65 ,,  2.85 ,,
DIP,,,,,,,,  74.20 ,,  3.60 ,,
OBSTETRICIA,  97.15 ,,,,,,,  2.90 ,,,,
CCA,  81.45 ,,,,,,,  30.40 ,,  2.95 ,,
CMA,  25.10 ,,,,,,,  33.35 ,,  1.95 ,,
CMB,  15.05 ,,,,,,,  23.53 ,,  2.00 ,,
UTI,  86.65 ,,,,,,,  9.65 ,,,,
BLOCO,  67.55 ,,,,,,,  0.70 ,,,,
DIP COVID,  26.50 ,,,,,,,  30.00 ,,,,
ÁREA,  41.80 ,,,,,,,  31.60 ,,,,
,,,,,,,,,,,,
TOTAL,  658.25 ,,,,  -   ,,,  318.03 ,,  13.35 ,,  -   
