CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,
7/1/2021,,,,,,,,RESPONSÁVEL PELA PESAGEM ,,,,
SETOR,KG,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,RECICLÁVEL,,,,,,,
,,,,,,,,,,,,
NUTRIÇÃO,  221.35 ,,,,  26.85 ,,,,,,,
ADM,  21.30 ,,,,  9.00 ,,,,,,,
AMBULATÓRIO,,,,,,,,  19.35 ,,,,
FARMÁCIA,  24.25 ,,,,,,,  11.95 ,,  5.55 ,,
NOTURNO,,,,,,,,  116.80 ,  20.70 ,,,
CME,  11.50 ,,,,,,,  3.85 ,,,,
AREA,  19.90 ,  23.40 ,,,  2.20 ,,,,,,,
CECAE,,,,,,,,,,,,
CEROF,  10.15 ,,,,  1.10 ,,,,,,,
PEDIATRIA,  21.30 ,,,,,,,  3.30 ,,,,
DIP,  20.50 ,,,,,,,  3.10 ,,  5.15 ,,
OBSTETRICIA,  45.85 ,,,,,,,  17.95 ,,  2.75 ,,
CCA,  12.45 ,,,,,,,,,,,
CMA,  20.20 ,,,,,,,,,,,
CMB,  86.30 ,,,,,,,,,,,
UTI,  43.65 ,,,,,,,  5.20 ,,  2.80 ,,
UPS,  9.35 ,,,,  5.05 ,,,,,,,
BLOCO,  27.80 ,,,,,,,  33.30 ,,  2.20 ,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
TOTAL,  619.25 ,,,,  44.20 ,,,  235.50 ,,  18.45 ,,  -   
