CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,
8/1/2021,,,,,,,,RESPONSÁVEL PELA PESAGEM ,,,,
SETOR,KG,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,RECICLÁVEL,,,,,,,
,,,,,,,,,,,,
NUTRIÇÃO,  181.87 ,  14.10 ,,,,,,  10.50 ,,,,
ADM,  25.90 ,,,,,,,,,,,
AMBULATÓRIO,  54.32 ,,,,,,,  35.00 ,,,,
FARMÁCIA,  28.49 ,,,,,,,  3.20 ,,,,
NOTURNO,,,,,,,,,,,,
CME,  20.40 ,,,,,,,  0.85 ,,,,
AREA,  25.70 ,,,,,,,,,,,
CECAE,  12.10 ,,,,,,,,,,,
CEROF,  10.80 ,,,,,,,,,,,
PEDIATRIA,  59.25 ,,,,,,,,,,,
DIP,  32.70 ,,,,,,,  14.00 ,,,,
OBSTETRICIA,  112.35 ,,,,,,,  10.80 ,,,,
CCA,  25.15 ,,,,,,,  1.90 ,,,,
CMA,  41.05 ,,,,,,,  25.00 ,,,,
CMB,  48.40 ,,,,,,,  11.75 ,,,,
UTI,  33.20 ,,,,,,,  8.35 ,,,,
UPS,,,,,,,,,,,,
BLOCO,,,,,,,,  11.75 ,,,,
SAI,  25.70 ,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
TOTAL,  751.48 ,,,,  -   ,,,  133.10 ,,  -   ,,  -   
