CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,
9/1/2021,,,,,,,,RESPONSÁVEL PELA PESAGEM ,,,,
SETOR,KG,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,RECICLÁVEL,,,,,,,
,,,,,,,,,,,,
NUTRIÇÃO,,,,,,,,,,,,
ADM,  19.20 ,,,,  2.30 ,,,,,,,
AMBULATÓRIO,  95.45 ,,,,  3.50 ,,,  84.15 ,,,,
FARMÁCIA,  21.65 ,,,,  4.00 ,,,  11.10 ,,,,
NOTURNO,,,,,,,,  49.30 ,,,,
CME,  12.95 ,,,,,,,,,,,
AREA,  16.55 ,,,,  2.35 ,,,,,,,
CECAE,,,,,,,,,,,,
CEROF,  5.50 ,,,,,,,,,,,
PEDIATRIA,  16.65 ,,,,,,,  2.45 ,,,,
DIP,  45.00 ,,,,,,,  3.55 ,,  2.10 ,,
OBSTETRICIA,  55.90 ,,,,,,,  3.15 ,,  2.90 ,,
CCA,  15.10 ,,,,,,,  8.65 ,,  4.15 ,,
CMA,  25.35 ,,,,,,,  28.20 ,,,,
CMB,  15.25 ,,,,,,,  10.85 ,,  1.90 ,,
UTI,  60.90 ,,,,,,,  9.50 ,,,,
UPS,,,,,,,,,,,,
BLOCO,  45.45 ,,,,,,,  45.05 ,,,,
PATOLOGIA,,,,,,,,  3.75 ,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
TOTAL,  450.90 ,,,,  12.15 ,,,  259.70 ,,  11.05 ,,  -   
