CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,
10/1/2021,,,,,,,,RESPONSÁVEL PELA PESAGEM ,,,,
SETOR,KG,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,RECICLÁVEL,,,,,,,
,,,,,,,,,,,,
NUTRIÇÃO,,,,,,,,,,,,
ADM,  19.80 ,,,,  3.05 ,,,  0.75 ,,,,
AMBULATÓRIO,,,,,,,,,,,,
FARMÁCIA,  21.35 ,,,,  3.55 ,,,  11.55 ,,  3.10 ,,
NOTURNO,,,,,,,,  63.25 ,,,,
CME,  7.90 ,,,,  2.25 ,,,  2.75 ,,,,
AREA,  23.05 ,,,,  2.10 ,,,,,,,
CECAE,  9.15 ,,,,  1.05 ,,,,,,,
CEROF,  10.25 ,,,,  1.45 ,,,,,,,
PEDIATRIA,  19.90 ,,,,  1.20 ,,,  2.95 ,,,,
DIP,  14.85 ,,,,  2.60 ,,,  6.90 ,,,,
OBSTETRICIA,  48.95 ,,,,  3.00 ,,,  6.65 ,,,,
CCA,  16.25 ,,,,  1.95 ,,,  5.50 ,,  1.55 ,,
CMA,  26.30 ,,,,,,,  18.05 ,,  1.60 ,,
CMB,  20.90 ,,,,,,,  7.45 ,,,,
UTI,  51.35 ,,,,  2.05 ,,,  11.65 ,,  9.20 ,,
UPS,,,,,,,,,,,,
BLOCO,  25.75 ,,,,  2.35 ,,,  16.60 ,,,,
LABORATÓRIO,  81.30 ,,,,  4.15 ,,,  17.80 ,,  6.15 ,,
PATOLOGIA,  9.00 ,,,,  1.65 ,,,,,,,
SAE,  10.45 ,,,,  1.95 ,,,  0.90 ,,,,
TOTAL,  416.50 ,,,,  34.35 ,,,  172.75 ,,  21.60 ,,  -   
