CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,
11/1/2021,,,,,,,,RESPONSÁVEL PELA PESAGEM ,,,,
SETOR,KG,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,RECICLÁVEL,,,,,,,
Administração,,,,,,,,,,,,
Ambulatório,,,,,,,,,,,,
Áreas,,,,,,,,,,,,
Bloco,,,,,,,,,,,,
CCA,,,,,,,,,,,,
CECAE/Hemodinâmica,,,,,,,,,,,,
CEROF,,,,,,,,,,,,
CMA,,,,,,,,,,,,
CMB,,,,,,,,,,,,
CME,,,,,,,,,,,,
DIP,,,,,,,,,,,,
Farmácia,,,,,,,,,,,,
Noturno ,,,,,,,,,,,,
Nutrição,,,,,,,,,,,,
Obstetrícia,,,,,,,,,,,,
Pediatria,,,,,,,,,,,,
SAE,,,,,,,,,,,,
UTI,,,,,,,,,,,,
COVID,,,,,,,,,,,,
TOTAL,  -   ,,,,  -   ,,,  -   ,,  -   ,,  -   
