CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,
3/1/2022,,,,,,,,RESPONSÁVEL PELA PESAGEM ,,,,
SETOR,KG,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,RECICLÁVEL,,,,,,,
NUTRIÇÃO ,,,,,,,,,,,,
ADM,  12.90 ,,,,,,,,,,,
AMBULATÓRIO,  18.00 ,,,,,,,  0.65 ,,,,
FARMÁCIA,  24.71 ,,,,,,,  2.15 ,,,,
CME,  19.20 ,,,,,,,  0.60 ,,,,
CECAI,  10.00 ,,,,,,,,,,,
CEROF,  4.00 ,,,,,,,,,,,
PEDIATRIA,  29.44 ,,,,,,,  6.25 ,,,,
OBSTETRÍCIA,  20.79 ,,,,,,,  0.50 ,,,,
DIP,  19.87 ,,,,,,,  2.95 ,,,,
CCA,  24.80 ,,,,,,,  4.80 ,,,,
CMA,  32.61 ,,,,,,,  21.55 ,,,,
CMB,  18.94 ,,,,,,,  1.35 ,,,,
PATOLOGIA,,,,,,,,,,,,
ÁREAS,,,,,,,,,,,,
BLOCO,  49.10 ,,,,,,,  2.05 ,  1.90 ,,,
UTI,  50.20 ,,,,,,,  4.60 ,,,,
NOTURNO,,,,,,,,  23.15 ,,,,
SAE,,,,,,,,,,,,
TOTAL,  334.56 ,,,,  -   ,,,  72.50 ,,  -   ,,  -   
