CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,
4/1/2022,,,,,,,,RESPONSÁVEL PELA PESAGEM ,,,,
SETOR,KG,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,RECICLÁVEL,,,,,,,
Nutrição,,,,,,,,,,,,
Administração,  13.00 ,,,,,,,  4.00 ,,,,
Ambulatório,  49.00 ,,,,,,,  4.15 ,,,,
Farmácia,  20.00 ,,,,,,,  1.20 ,,,,
CME,  9.00 ,,,,,,,  25.00 ,,,,
CECAE/Hemodinâmica,  24.40 ,,,,,,,  5.00 ,,,,
CEROF,  14.00 ,,,,,,,  5.50 ,,,,
Pediatria,  18.85 ,,,,,,,  21.45 ,,,,
Obstetrícia,  38.00 ,,,,,,,  31.00 ,,,,
DIP,  17.00 ,,,,,,,  19.20 ,,,,
CCA,  16.40 ,,,,,,,  13.95 ,,,,
CMA,  34.50 ,,,,,,,  16.00 ,,,,
CMB,  27.30 ,,,,,,,  13.50 ,,,,
PATOLOGIA,  16.00 ,,,,,,,  4.50 ,,,,
ÁREA,  15.05 ,,,,,,," 32,,",,,,
BLOCO,  12.00 ,,,,,,,  7.00 ,,,,
UTI,  10.75 ,,,,,,,  0.65 ,,,,
NOTURNO,  17.00 ,,,,,,,  20.60 ,,,,
SAE,,,,,,,,  1.20 ,,,,
TOTAL,  352.25 ,,,,  -   ,,,  193.90 ,,  -   ,,  -   
