CONTROLE DIÁRIO DE PRODUÇÃO DE LIXO,,,,,,,,,,,,
2/1/2023,,,,,,,,RESPONSÁVEL PELA PESAGEM ,,,JORGE,
SETOR,KG,,,,,,,,,,,
,CLASSE D,,,,,,,CLASSE A (INFECTANTE),,CLASSE E (PERFURO CORTANTE),,CLASSE B (MEDICAMENTOS)
,NÃO RECICLÁVEL,,,,RECICLÁVEL,,,,,,,
Administração,  ,,,,,,,,,,,
Ambulatório,  20.00 ,,,,,,,,,,,
Áreas,  18.00 ,,,,,,,,,,,
Bloco,  20.00 ,  10.00 ,,,,,,,,,,
CCA,  20.00 ,  6.00 ,,,,,,,,,,
CECAE/Hemodinâmica,,,,,,,,,,,,
CEROF,  18.00 ,  2.00 ,,,,,,,,,,
CMA,,,,,,,,,,,,
CMB,  31.00 ,,,,,,,,,,,
CME,,,,,,,,,,,,
DIP,  20.00 ,,,,,,,,,,,
Farmácia,  22.00 ,  2.00 ,,,,,,,,,,
Laboratório,,,,,,,,,,,,
Nutrição,  23.00 ,  3.00 ,,,,,,,,,,
Obstetrícia,,,,,,,,,,,,
Pediatria,  19.00 ,,,,,,,,,,,
SAI,,,,,,,,,,,,
UTI,  20.00 ,  20.00 ,,,,,,,,,,
TOTAL,  274.00 ,,,,  -   ,,,  -   ,,  -   ,,  -   
